station,id,x,y,PM25_V
12395,城关区,103.8381,36.0487,21
12397,城关区,103.8348,36.0482,18
12398,城关区,103.8435,36.0491,19
12402,城关区,103.8326,36.0391,19
12404,城关区,103.8515,36.0532,20
12405,城关区,103.8381,36.0487,29
12406,城关区,103.8614,36.0451,33
12408,城关区,103.849,36.0528,30
12416,城关区,103.8326,36.0391,25
12417,城关区,103.8362,36.0367,28
12430,城关区,103.8285,36.0501,27
12431,城关区,103.8671,36.0399,29
12432,城关区,103.8812,36.0365,26
12437,城关区,103.8925,36.037,24
12438,城关区,103.8318,36.0461,35
12439,城关区,103.8332,36.0533,55
12440,城关区,103.849,36.0528,60
12441,城关区,103.8378,36.0477,45
12459,城关区,103.8168,36.0615,37
12460,城关区,103.8188,36.053,36
12461,城关区,103.8191,36.0507,32
12466,城关区,103.8114,36.0596,26
12475,城关区,103.8189,36.051,21
12476,城关区,103.8114,36.0596,17
12480,城关区,103.8362,36.0367,24
12484,城关区,103.8278,36.0853,23
12490,城关区,103.8286,36.0786,18
12491,城关区,103.8242,36.0838,16
12492,城关区,103.875,36.0606,18
12493,城关区,103.8278,36.0853,20
12494,城关区,103.8718,36.0652,18
12496,城关区,103.8311,36.0708,20
12497,城关区,103.8842,36.0684,21
12498,城关区,103.8684,36.0674,20
12499,城关区,103.89,36.0677,19
12503,城关区,103.896,36.0618,18
12504,城关区,103.8168,36.0564,33
12505,城关区,103.8554,36.0629,37
12506,城关区,103.8381,36.0487,44
13920,城关区,103.8443,36.0717,48
13923,城关区,103.8506,36.075,38
13936,城关区,103.8169,36.1108,21
13937,城关区,103.8239,36.0756,17
13942,城关区,103.8304,36.0778,18
13948,城关区,103.8094,36.0769,22
13949,城关区,103.8094,36.0769,18
13950,城关区,103.8223,36.0743,18
13951,城关区,103.7939,36.1113,19
13952,城关区,103.8571,36.039,22
13953,城关区,103.8794,36.0373,46
13954,城关区,103.8659,36.0364,40
13956,城关区,103.8806,36.0403,39
13957,城关区,103.8578,36.0408,44
13959,城关区,103.8605,36.0341,43
13960,城关区,103.8236,36.0422,40
13961,城关区,103.8225,36.0427,40
13962,城关区,103.8236,36.0422,40
13963,城关区,103.8221,36.0421,49
13964,城关区,103.8246,36.0387,64
13965,城关区,103.8814,36.0468,74
13970,城关区,103.8891,36.0421,68
13971,城关区,103.8789,36.0485,58
13973,城关区,103.89,36.0403,54
13974,城关区,103.8735,36.0447,53
13975,城关区,103.8481,36.0313,49
13979,城关区,103.8556,36.0316,57
13980,城关区,103.8365,36.0557,53
13981,城关区,103.8373,36.0591,50
13982,城关区,103.8489,36.0135,46
13983,城关区,103.8373,36.0591,46
13984,城关区,103.8373,36.0591,46
13987,城关区,103.8439,36.0602,42
13988,城关区,103.84,36.0352,41
14145,城关区,103.8401,36.0369,22
14146,城关区,103.8422,36.0393,26
14148,城关区,103.8641,36.0523,26
14149,城关区,103.8667,36.04,26
14151,城关区,103.8571,36.039,23
14152,城关区,103.8412,36.0397,24
14157,城关区,103.9069,36.0465,21
14158,城关区,103.8651,36.0365,18
14159,城关区,103.9323,36.0392,17
14161,城关区,103.9323,36.0392,19
14162,城关区,103.9157,36.047,19
14164,城关区,103.9323,36.0392,21
14165,城关区,103.9196,36.0447,11
14166,城关区,103.8489,36.0135,15
14169,城关区,103.8489,36.0135,16
14171,城关区,103.8619,35.9887,15
14172,城关区,103.8379,36.017,14
14177,城关区,103.8783,36.0495,13
14179,城关区,103.8705,36.0526,13
14180,城关区,103.8949,36.0453,14
14181,城关区,103.9034,36.0401,12
14183,城关区,103.9291,36.0363,12
14187,城关区,103.9323,36.0392,17
14189,城关区,103.9425,36.0341,19
14190,城关区,103.8876,36.0258,19
14191,城关区,103.8489,36.0135,15
14192,城关区,103.8487,36.0065,15
14197,城关区,103.8738,35.9879,17
14198,城关区,103.8925,36.037,19
14199,城关区,103.8029,36.0962,25
14201,城关区,103.9035,36.0715,23
14202,城关区,103.923,36.0651,23
14203,城关区,103.9296,36.0626,25
14204,城关区,103.9694,36.0872,25
14233,城关区,103.9041,36.072,27
14235,城关区,103.8835,36.0841,22
14236,城关区,103.8114,36.0596,19
14238,城关区,103.8237,36.0601,22
14239,城关区,103.8237,36.0601,24
14240,城关区,103.8277,36.0586,24
14243,城关区,103.8237,36.0559,27
14580,城关区,103.8158,36.051,34
14581,城关区,103.8891,36.0538,35
14582,城关区,103.8842,36.0684,42
14583,城关区,103.8737,36.0546,38
14584,城关区,103.8842,36.0684,34
14585,城关区,103.8688,36.0573,37
14586,城关区,103.8346,36.0248,38
14590,城关区,91.137,29.6553,25
14591,城关区,103.8144,36.0685,26
14592,城关区,103.8481,36.0313,27
14594,城关区,103.867,36.0271,28
14595,城关区,103.8566,36.0307,27
14596,城关区,91.137,29.6553,28
14598,城关区,103.8422,36.0393,31
14599,城关区,103.8842,36.0684,34
14600,城关区,103.8204,36.0592,32
14601,城关区,103.8437,36.0551,29
14602,城关区,103.8273,36.0537,25
14604,城关区,103.868,36.0544,25
14605,城关区,103.8641,36.0523,19
14606,城关区,103.8641,36.0523,17
14607,城关区,103.8616,36.0488,16
14608,城关区,103.8346,36.0248,18
14610,城关区,113.4948,34.6661,15
14611,城关区,117.9294,36.8078,16
14617,城关区,103.8514,36.0752,16
14618,城关区,103.8601,36.0121,17
14620,城关区,103.8189,36.051,22
14621,城关区,103.8362,36.0367,26
14625,城关区,103.8436,36.0558,30
14626,城关区,103.869,36.0449,32
14627,城关区,103.8114,36.0596,36
14628,城关区,103.8201,36.0573,40
14629,城关区,103.8578,36.0408,27
14630,城关区,103.8114,36.0596,28
14631,城关区,103.8602,36.0392,33
14632,城关区,103.8285,36.0501,35
14636,城关区,103.8842,36.0684,34
14637,城关区,103.896,36.0618,35
14638,城关区,103.8842,36.0684,36
14640,城关区,103.861,36.0586,34
14852,城关区,103.8584,36.0628,33
14853,城关区,103.875,36.0606,33
