station,id,x,y,PM25_V
12395,城关区,103.8381,36.0487,29
12397,城关区,103.8348,36.0482,29
12398,城关区,103.8435,36.0491,28
12402,城关区,103.8326,36.0391,25
12404,城关区,103.8515,36.0532,24
12405,城关区,103.8381,36.0487,24
12406,城关区,103.8614,36.0451,21
12408,城关区,103.849,36.0528,17
12416,城关区,103.8326,36.0391,18
12417,城关区,103.8362,36.0367,18
12430,城关区,103.8285,36.0501,17
12431,城关区,103.8671,36.0399,18
12432,城关区,103.8812,36.0365,18
12437,城关区,103.8925,36.037,18
12438,城关区,103.8318,36.0461,21
12439,城关区,103.8332,36.0533,25
12440,城关区,103.849,36.0528,29
12441,城关区,103.8378,36.0477,30
12459,城关区,103.8168,36.0615,33
12460,城关区,103.8188,36.053,31
12461,城关区,103.8191,36.0507,21
12466,城关区,103.8114,36.0596,22
12475,城关区,103.8189,36.051,24
12476,城关区,103.8114,36.0596,29
12480,城关区,103.8362,36.0367,28
12484,城关区,103.8278,36.0853,26
12490,城关区,103.8286,36.0786,26
12491,城关区,103.8242,36.0838,25
12492,城关区,103.875,36.0606,24
12493,城关区,103.8278,36.0853,25
12494,城关区,103.8718,36.0652,24
12496,城关区,103.8311,36.0708,25
12497,城关区,103.8842,36.0684,26
12498,城关区,103.8684,36.0674,31
12499,城关区,103.89,36.0677,31
12503,城关区,103.896,36.0618,29
12504,城关区,103.8168,36.0564,26
12505,城关区,103.8554,36.0629,23
12506,城关区,103.8381,36.0487,22
13920,城关区,103.8443,36.0717,21
13923,城关区,103.8506,36.075,18
13936,城关区,103.8169,36.1108,19
13937,城关区,103.8239,36.0756,18
13942,城关区,103.8304,36.0778,18
13948,城关区,103.8094,36.0769,21
13949,城关区,103.8094,36.0769,22
13950,城关区,103.8223,36.0743,24
13951,城关区,103.7939,36.1113,24
13952,城关区,103.8571,36.039,20
13953,城关区,103.8794,36.0373,22
13954,城关区,103.8659,36.0364,21
13956,城关区,103.8806,36.0403,23
13957,城关区,103.8578,36.0408,25
13959,城关区,103.8605,36.0341,26
13960,城关区,103.8236,36.0422,26
13961,城关区,103.8225,36.0427,29
13962,城关区,103.8236,36.0422,26
13963,城关区,103.8221,36.0421,29
13964,城关区,103.8246,36.0387,36
13965,城关区,103.8814,36.0468,34
13970,城关区,103.8891,36.0421,28
13971,城关区,103.8789,36.0485,25
13973,城关区,103.89,36.0403,28
13974,城关区,103.8735,36.0447,26
13975,城关区,103.8481,36.0313,17
13979,城关区,103.8556,36.0316,18
13980,城关区,103.8365,36.0557,19
13981,城关区,103.8373,36.0591,22
13982,城关区,103.8489,36.0135,20
13983,城关区,103.8373,36.0591,20
13984,城关区,103.8373,36.0591,20
13987,城关区,103.8439,36.0602,16
13988,城关区,103.84,36.0352,16
14145,城关区,103.8401,36.0369,17
14146,城关区,103.8422,36.0393,19
14148,城关区,103.8641,36.0523,19
14149,城关区,103.8667,36.04,19
14151,城关区,103.8571,36.039,21
14152,城关区,103.8412,36.0397,20
14157,城关区,103.9069,36.0465,22
14158,城关区,103.8651,36.0365,21
14159,城关区,103.9323,36.0392,21
14161,城关区,103.9323,36.0392,26
14162,城关区,103.9157,36.047,24
14164,城关区,103.9323,36.0392,23
14165,城关区,103.9196,36.0447,24
14166,城关区,103.8489,36.0135,23
14169,城关区,103.8489,36.0135,27
14171,城关区,103.8619,35.9887,31
14172,城关区,103.8379,36.017,25
14177,城关区,103.8783,36.0495,27
14179,城关区,103.8705,36.0526,31
14180,城关区,103.8949,36.0453,33
14181,城关区,103.9034,36.0401,29
14183,城关区,103.9291,36.0363,26
14187,城关区,103.9323,36.0392,17
14189,城关区,103.9425,36.0341,14
14190,城关区,103.8876,36.0258,19
14191,城关区,103.8489,36.0135,23
14192,城关区,103.8487,36.0065,18
14197,城关区,103.8738,35.9879,16
14198,城关区,103.8925,36.037,19
14199,城关区,103.8029,36.0962,19
14201,城关区,103.9035,36.0715,19
14202,城关区,103.923,36.0651,20
14203,城关区,103.9296,36.0626,24
14204,城关区,103.9694,36.0872,22
14233,城关区,103.9041,36.072,21
14235,城关区,103.8835,36.0841,20
14236,城关区,103.8114,36.0596,19
14238,城关区,103.8237,36.0601,19
14239,城关区,103.8237,36.0601,25
