station,id,x,y,PM25_V
12395,城关区,103.8381,36.0487,32
12397,城关区,103.8348,36.0482,36
12398,城关区,103.8435,36.0491,33
12402,城关区,103.8326,36.0391,24
12404,城关区,103.8515,36.0532,23
12405,城关区,103.8381,36.0487,32
12406,城关区,103.8614,36.0451,52
12408,城关区,103.849,36.0528,26
12416,城关区,103.8326,36.0391,22
12417,城关区,103.8362,36.0367,19
12430,城关区,103.8285,36.0501,35
12431,城关区,103.8671,36.0399,20
12432,城关区,103.8812,36.0365,16
12437,城关区,103.8925,36.037,13
12438,城关区,103.8318,36.0461,31
12439,城关区,103.8332,36.0533,32
12440,城关区,103.849,36.0528,28
12441,城关区,103.8378,36.0477,31
12459,城关区,103.8168,36.0615,34
12460,城关区,103.8188,36.053,40
12461,城关区,103.8191,36.0507,28
12466,城关区,103.8114,36.0596,25
12475,城关区,103.8189,36.051,27
12476,城关区,103.8114,36.0596,28
12480,城关区,103.8362,36.0367,26
12484,城关区,103.8278,36.0853,31
12490,城关区,103.8286,36.0786,36
12491,城关区,103.8242,36.0838,24
12492,城关区,103.875,36.0606,33
12493,城关区,103.8278,36.0853,30
12494,城关区,103.8718,36.0652,33
12496,城关区,103.8311,36.0708,37
12497,城关区,103.8842,36.0684,24
12498,城关区,103.8684,36.0674,32
12499,城关区,103.89,36.0677,22
12503,城关区,103.896,36.0618,24
12504,城关区,103.8168,36.0564,27
12505,城关区,103.8554,36.0629,23
12506,城关区,103.8381,36.0487,34
13920,城关区,103.8443,36.0717,26
13923,城关区,103.8506,36.075,19
13936,城关区,103.8169,36.1108,17
13937,城关区,103.8239,36.0756,22
13942,城关区,103.8304,36.0778,16
13948,城关区,103.8094,36.0769,22
13949,城关区,103.8094,36.0769,22
13950,城关区,103.8223,36.0743,22
13951,城关区,103.7939,36.1113,20
13952,城关区,103.8571,36.039,30
13953,城关区,103.8794,36.0373,15
13954,城关区,103.8659,36.0364,23
13956,城关区,103.8806,36.0403,22
13957,城关区,103.8578,36.0408,19
13959,城关区,103.8605,36.0341,22
13960,城关区,103.8236,36.0422,27
13961,城关区,103.8225,36.0427,21
13962,城关区,103.8236,36.0422,25
13963,城关区,103.8221,36.0421,23
13964,城关区,103.8246,36.0387,14
13965,城关区,103.8814,36.0468,38
13970,城关区,103.8891,36.0421,31
13971,城关区,103.8789,36.0485,20
13973,城关区,103.89,36.0403,24
13974,城关区,103.8735,36.0447,23
13975,城关区,103.8481,36.0313,21
13979,城关区,103.8556,36.0316,25
13980,城关区,103.8365,36.0557,18
13981,城关区,103.8373,36.0591,19
13982,城关区,103.8489,36.0135,24
13983,城关区,103.8373,36.0591,23
13984,城关区,103.8373,36.0591,20
13987,城关区,103.8439,36.0602,17
13988,城关区,103.84,36.0352,18
14145,城关区,103.8401,36.0369,24
14146,城关区,103.8422,36.0393,25
14148,城关区,103.8641,36.0523,23
14149,城关区,103.8667,36.04,34
14151,城关区,103.8571,36.039,29
14152,城关区,103.8412,36.0397,36
14157,城关区,103.9069,36.0465,20
14158,城关区,103.8651,36.0365,23
14159,城关区,103.9323,36.0392,18
14161,城关区,103.9323,36.0392,36
14162,城关区,103.9157,36.047,18
14164,城关区,103.9323,36.0392,26
14165,城关区,103.9196,36.0447,37
14166,城关区,103.8489,36.0135,16
14169,城关区,103.8489,36.0135,31
14171,城关区,103.8619,35.9887,30
14172,城关区,103.8379,36.017,29
14177,城关区,103.8783,36.0495,54
14179,城关区,103.8705,36.0526,36
14180,城关区,103.8949,36.0453,21
14181,城关区,103.9034,36.0401,36
14183,城关区,103.9291,36.0363,23
14187,城关区,103.9323,36.0392,32
14189,城关区,103.9425,36.0341,30
14190,城关区,103.8876,36.0258,29
14191,城关区,103.8489,36.0135,27
14192,城关区,103.8487,36.0065,25
14197,城关区,103.8738,35.9879,20
14198,城关区,103.8925,36.037,25
14199,城关区,103.8029,36.0962,17
14201,城关区,103.9035,36.0715,22
14202,城关区,103.923,36.0651,19
14203,城关区,103.9296,36.0626,18
14204,城关区,103.9694,36.0872,17
14233,城关区,103.9041,36.072,35
14235,城关区,103.8835,36.0841,22
14236,城关区,103.8114,36.0596,23
14238,城关区,103.8237,36.0601,18
14239,城关区,103.8237,36.0601,21
14240,城关区,103.8277,36.0586,34
14243,城关区,103.8237,36.0559,23
14580,城关区,103.8158,36.051,19
14581,城关区,103.8891,36.0538,22
14582,城关区,103.8842,36.0684,19
14583,城关区,103.8737,36.0546,21
14584,城关区,103.8842,36.0684,27
14585,城关区,103.8688,36.0573,43
14586,城关区,103.8346,36.0248,18
14590,城关区,91.137,29.6553,16
14591,城关区,103.8144,36.0685,16
14592,城关区,103.8481,36.0313,22
14594,城关区,103.867,36.0271,21
14595,城关区,103.8566,36.0307,20
14596,城关区,91.137,29.6553,18
14598,城关区,103.8422,36.0393,22
14599,城关区,103.8842,36.0684,19
14600,城关区,103.8204,36.0592,20
14601,城关区,103.8437,36.0551,24
14602,城关区,103.8273,36.0537,38
14604,城关区,103.868,36.0544,23
14605,城关区,103.8641,36.0523,34
14606,城关区,103.8641,36.0523,29
14607,城关区,103.8616,36.0488,29
14608,城关区,103.8346,36.0248,24
14610,城关区,113.4948,34.6661,29
14611,城关区,117.9294,36.8078,32
14617,城关区,103.8514,36.0752,23
14618,城关区,103.8601,36.0121,8
14620,城关区,103.8189,36.051,40
14621,城关区,103.8362,36.0367,21
14625,城关区,103.8436,36.0558,20
14626,城关区,103.869,36.0449,23
14627,城关区,103.8114,36.0596,25
14628,城关区,103.8201,36.0573,24
14629,城关区,103.8578,36.0408,28
14630,城关区,103.8114,36.0596,37
14631,城关区,103.8602,36.0392,24
