station,id,x,y,PM25_V
12395,城关区,103.8381,36.0487,29
12397,城关区,103.8348,36.0482,36
12398,城关区,103.8435,36.0491,30
12402,城关区,103.8326,36.0391,21
12404,城关区,103.8515,36.0532,30
12405,城关区,103.8381,36.0487,24
12406,城关区,103.8614,36.0451,26
12408,城关区,103.849,36.0528,27
12416,城关区,103.8326,36.0391,24
12417,城关区,103.8362,36.0367,21
12430,城关区,103.8285,36.0501,29
12431,城关区,103.8671,36.0399,18
12432,城关区,103.8812,36.0365,16
12437,城关区,103.8925,36.037,13
12438,城关区,103.8318,36.0461,27
12439,城关区,103.8332,36.0533,28
12440,城关区,103.849,36.0528,32
12441,城关区,103.8378,36.0477,28
12459,城关区,103.8168,36.0615,21
12460,城关区,103.8188,36.053,30
12461,城关区,103.8191,36.0507,24
12466,城关区,103.8114,36.0596,21
12475,城关区,103.8189,36.051,23
12476,城关区,103.8114,36.0596,25
12480,城关区,103.8362,36.0367,23
12484,城关区,103.8278,36.0853,27
12490,城关区,103.8286,36.0786,38
12491,城关区,103.8242,36.0838,26
12492,城关区,103.875,36.0606,39
12493,城关区,103.8278,36.0853,28
12494,城关区,103.8718,36.0652,32
12496,城关区,103.8311,36.0708,36
12497,城关区,103.8842,36.0684,27
12498,城关区,103.8684,36.0674,38
12499,城关区,103.89,36.0677,32
12503,城关区,103.896,36.0618,28
12504,城关区,103.8168,36.0564,21
12505,城关区,103.8554,36.0629,25
12506,城关区,103.8381,36.0487,26
13920,城关区,103.8443,36.0717,29
13923,城关区,103.8506,36.075,30
13936,城关区,103.8169,36.1108,37
13937,城关区,103.8239,36.0756,20
13942,城关区,103.8304,36.0778,25
13948,城关区,103.8094,36.0769,23
13949,城关区,103.8094,36.0769,31
13950,城关区,103.8223,36.0743,25
13951,城关区,103.7939,36.1113,22
13952,城关区,103.8571,36.039,34
13953,城关区,103.8794,36.0373,19
13954,城关区,103.8659,36.0364,30
13956,城关区,103.8806,36.0403,26
13957,城关区,103.8578,36.0408,23
13959,城关区,103.8605,36.0341,19
13960,城关区,103.8236,36.0422,26
13961,城关区,103.8225,36.0427,20
13962,城关区,103.8236,36.0422,19
13963,城关区,103.8221,36.0421,29
13964,城关区,103.8246,36.0387,20
13965,城关区,103.8814,36.0468,51
13970,城关区,103.8891,36.0421,37
13971,城关区,103.8789,36.0485,29
13973,城关区,103.89,36.0403,27
13974,城关区,103.8735,36.0447,23
13975,城关区,103.8481,36.0313,25
13979,城关区,103.8556,36.0316,25
13980,城关区,103.8365,36.0557,27
13981,城关区,103.8373,36.0591,24
13982,城关区,103.8489,36.0135,26
13983,城关区,103.8373,36.0591,25
13984,城关区,103.8373,36.0591,30
13987,城关区,103.8439,36.0602,17
13988,城关区,103.84,36.0352,28
14145,城关区,103.8401,36.0369,34
14146,城关区,103.8422,36.0393,34
14148,城关区,103.8641,36.0523,29
14149,城关区,103.8667,36.04,23
14151,城关区,103.8571,36.039,44
14152,城关区,103.8412,36.0397,58
14157,城关区,103.9069,36.0465,22
14158,城关区,103.8651,36.0365,18
14159,城关区,103.9323,36.0392,20
14161,城关区,103.9323,36.0392,27
14162,城关区,103.9157,36.047,22
14164,城关区,103.9323,36.0392,23
14165,城关区,103.9196,36.0447,30
14166,城关区,103.8489,36.0135,20
14169,城关区,103.8489,36.0135,32
14171,城关区,103.8619,35.9887,36
14172,城关区,103.8379,36.017,22
14177,城关区,103.8783,36.0495,26
14179,城关区,103.8705,36.0526,31
14180,城关区,103.8949,36.0453,29
14181,城关区,103.9034,36.0401,30
14183,城关区,103.9291,36.0363,22
14187,城关区,103.9323,36.0392,28
14189,城关区,103.9425,36.0341,27
14190,城关区,103.8876,36.0258,33
14191,城关区,103.8489,36.0135,33
14192,城关区,103.8487,36.0065,27
14197,城关区,103.8738,35.9879,20
14198,城关区,103.8925,36.037,26
14199,城关区,103.8029,36.0962,19
14201,城关区,103.9035,36.0715,23
14202,城关区,103.923,36.0651,25
14203,城关区,103.9296,36.0626,20
14204,城关区,103.9694,36.0872,19
14233,城关区,103.9041,36.072,35
14235,城关区,103.8835,36.0841,23
14236,城关区,103.8114,36.0596,22
14238,城关区,103.8237,36.0601,20
14239,城关区,103.8237,36.0601,25
14240,城关区,103.8277,36.0586,30
14243,城关区,103.8237,36.0559,20
14580,城关区,103.8158,36.051,22
14581,城关区,103.8891,36.0538,31
14582,城关区,103.8842,36.0684,19
14583,城关区,103.8737,36.0546,23
14584,城关区,103.8842,36.0684,20
14585,城关区,103.8688,36.0573,25
14586,城关区,103.8346,36.0248,20
14590,城关区,91.137,29.6553,17
14591,城关区,103.8144,36.0685,
14592,城关区,103.8481,36.0313,20
14594,城关区,103.867,36.0271,20
14595,城关区,103.8566,36.0307,20
14596,城关区,91.137,29.6553,21
14598,城关区,103.8422,36.0393,23
14599,城关区,103.8842,36.0684,36
14600,城关区,103.8204,36.0592,26
14601,城关区,103.8437,36.0551,30
14602,城关区,103.8273,36.0537,33
14604,城关区,103.868,36.0544,31
14605,城关区,103.8641,36.0523,32
14606,城关区,103.8641,36.0523,31
14607,城关区,103.8616,36.0488,24
14608,城关区,103.8346,36.0248,20
14610,城关区,113.4948,34.6661,34
14611,城关区,117.9294,36.8078,29
14617,城关区,103.8514,36.0752,28
14618,城关区,103.8601,36.0121,14
14620,城关区,103.8189,36.051,41
14621,城关区,103.8362,36.0367,40
14625,城关区,103.8436,36.0558,16
14626,城关区,103.869,36.0449,20
14627,城关区,103.8114,36.0596,23
14628,城关区,103.8201,36.0573,23
14629,城关区,103.8578,36.0408,29
14630,城关区,103.8114,36.0596,45
14631,城关区,103.8602,36.0392,22
14632,城关区,103.8285,36.0501,19
14636,城关区,103.8842,36.0684,26
14637,城关区,103.896,36.0618,21
14638,城关区,103.8842,36.0684,56
14640,城关区,103.861,36.0586,19
14852,城关区,103.8584,36.0628,17
14853,城关区,103.875,36.0606,15
14855,城关区,103.8666,36.0582,15
14857,城关区,103.8364,36.0419,15
14858,城关区,103.8797,36.0576,17
14859,城关区,103.8688,36.0573,15
14861,城关区,103.8385,36.0676,22
14863,七里河区,103.7416,36.0812,13
14864,七里河区,103.7126,36.0816,15
14865,七里河区,103.7126,36.0816,21
14866,七里河区,103.7126,36.0816,19
14867,七里河区,103.7255,36.0816,19
14868,七里河区,103.7126,36.0816,17
14869,七里河区,103.7126,36.0816,23
14873,七里河区,103.7287,36.0773,21
14875,七里河区,103.7392,36.0831,25
14876,七里河区,103.7668,36.0493,23
14880,七里河区,103.7287,36.0773,42
14881,七里河区,103.7607,36.0519,9
14882,七里河区,103.7607,36.0519,10
15407,七里河区,103.711,36.0747,32
15408,七里河区,103.7607,36.0519,34
15409,七里河区,103.7426,36.0532,33
15414,七里河区,103.7266,36.0491,19
15415,七里河区,103.745,36.0519,28
15416,七里河区,103.745,36.0519,27
15417,七里河区,103.7496,36.0523,21
15418,七里河区,103.6933,36.0017,24
15419,七里河区,103.713,36.0157,18
15420,七里河区,103.749,36.077,18
15422,七里河区,103.776,36.0751,10
15432,七里河区,103.7604,36.0743,26
15433,七里河区,103.7696,36.0685,26
15435,七里河区,103.745,36.0519,30
15439,七里河区,103.7442,36.0535,24
15440,七里河区,103.7449,36.0511,39
15458,七里河区,103.7855,36.0556,43
15461,七里河区,103.7959,36.0597,26
15462,七里河区,103.796,36.0631,22
15465,七里河区,103.7962,36.0579,28
15466,七里河区,103.7644,36.0697,21
15468,七里河区,103.7723,36.0617,37
15469,七里河区,103.7608,36.058,40
15470,七里河区,103.7715,36.0646,23
15471,七里河区,103.7569,36.0689,28
15472,七里河区,103.7573,36.0666,34
15476,七里河区,103.8254,36.0036,34
15478,七里河区,103.8661,35.9393,23
15481,七里河区,103.8113,36.0218,32
15483,七里河区,103.8025,36.047,23
15484,七里河区,103.8643,35.9501,33
15485,七里河区,103.8618,35.9566,19
15486,七里河区,103.8034,36.0475,28
15487,七里河区,103.8565,35.9663,28
15489,七里河区,103.8496,35.9765,26
15490,七里河区,103.8347,35.9922,15
15491,七里河区,103.8658,35.938,24
15492,七里河区,103.8056,36.0348,32
15493,七里河区,103.8543,35.9231,20
15494,七里河区,103.8045,35.8712,30
15495,七里河区,103.8415,35.9021,41
15496,七里河区,103.8462,35.9053,23
15497,七里河区,103.821,35.8786,14
15502,七里河区,103.8452,35.908,17
15503,七里河区,103.7835,36.0661,21
15504,七里河区,103.8452,35.908,43
15505,七里河区,103.8415,35.9021,26
15509,七里河区,103.8471,35.8889,26
15510,七里河区,103.8851,35.9208,24
15511,七里河区,103.8767,35.8923,14
15512,七里河区,103.6772,35.9942,16
15548,七里河区,103.706,35.9488,18
15549,七里河区,103.7122,36.0147,17
15553,七里河区,103.7122,36.0147,18
15554,七里河区,103.6531,35.9505,18
15555,七里河区,103.7092,35.9868,31
15556,七里河区,103.7237,35.9774,20
15558,七里河区,103.7501,35.9696,17
15560,七里河区,103.7627,35.9494,12
15562,七里河区,103.7501,35.9696,18
15565,七里河区,103.7651,35.9256,15
15584,七里河区,103.7796,35.9471,32
15585,七里河区,103.7168,35.9359,11
15586,七里河区,103.7389,35.9535,12
15587,七里河区,103.7682,35.9799,25
15588,七里河区,103.7624,35.9675,17
15589,七里河区,103.7865,35.996,8
15590,七里河区,103.7992,35.9393,13
15592,七里河区,103.79,35.915,21
15593,七里河区,103.8118,35.9245,17
15594,七里河区,103.8388,35.956,14
15633,七里河区,103.8382,35.9304,33
15634,七里河区,103.766,36.0534,57
15635,七里河区,103.8802,35.8758,50
15637,七里河区,103.747,36.02,132
15638,七里河区,103.7538,36.0174,26
15639,七里河区,103.7731,36.0114,24
15640,七里河区,103.7755,35.9901,25
15641,七里河区,103.7131,35.982,27
