station,id,x,y,PM25_V
12395,城关区,103.8381,36.0487,21
12397,城关区,103.8348,36.0482,21
12398,城关区,103.8435,36.0491,20
12402,城关区,103.8326,36.0391,20
12404,城关区,103.8515,36.0532,18
12405,城关区,103.8381,36.0487,17
12406,城关区,103.8614,36.0451,20
12408,城关区,103.849,36.0528,18
12416,城关区,103.8326,36.0391,17
12417,城关区,103.8362,36.0367,13
12430,城关区,103.8285,36.0501,22
12431,城关区,103.8671,36.0399,17
12432,城关区,103.8812,36.0365,17
12437,城关区,103.8925,36.037,20
12438,城关区,103.8318,36.0461,19
12439,城关区,103.8332,36.0533,19
12440,城关区,103.849,36.0528,20
12441,城关区,103.8378,36.0477,19
12459,城关区,103.8168,36.0615,15
12460,城关区,103.8188,36.053,19
12461,城关区,103.8191,36.0507,17
12466,城关区,103.8114,36.0596,15
12475,城关区,103.8189,36.051,17
12476,城关区,103.8114,36.0596,17
12480,城关区,103.8362,36.0367,17
12484,城关区,103.8278,36.0853,23
12490,城关区,103.8286,36.0786,16
12491,城关区,103.8242,36.0838,13
12492,城关区,103.875,36.0606,26
12493,城关区,103.8278,36.0853,18
12494,城关区,103.8718,36.0652,19
12496,城关区,103.8311,36.0708,26
12497,城关区,103.8842,36.0684,14
12498,城关区,103.8684,36.0674,18
12499,城关区,103.89,36.0677,21
12503,城关区,103.896,36.0618,22
12504,城关区,103.8168,36.0564,17
12505,城关区,103.8554,36.0629,15
12506,城关区,103.8381,36.0487,21
13920,城关区,103.8443,36.0717,25
13923,城关区,103.8506,36.075,19
13936,城关区,103.8169,36.1108,17
13937,城关区,103.8239,36.0756,18
13942,城关区,103.8304,36.0778,20
13948,城关区,103.8094,36.0769,15
13949,城关区,103.8094,36.0769,19
13950,城关区,103.8223,36.0743,21
13951,城关区,103.7939,36.1113,23
13952,城关区,103.8571,36.039,18
13953,城关区,103.8794,36.0373,17
13954,城关区,103.8659,36.0364,16
13956,城关区,103.8806,36.0403,21
13957,城关区,103.8578,36.0408,20
13959,城关区,103.8605,36.0341,24
13960,城关区,103.8236,36.0422,48
13961,城关区,103.8225,36.0427,16
13962,城关区,103.8236,36.0422,20
13963,城关区,103.8221,36.0421,17
13964,城关区,103.8246,36.0387,20
13965,城关区,103.8814,36.0468,17
13970,城关区,103.8891,36.0421,16
13971,城关区,103.8789,36.0485,18
13973,城关区,103.89,36.0403,18
13974,城关区,103.8735,36.0447,20
13975,城关区,103.8481,36.0313,21
13979,城关区,103.8556,36.0316,21
13980,城关区,103.8365,36.0557,19
13981,城关区,103.8373,36.0591,16
13982,城关区,103.8489,36.0135,16
13983,城关区,103.8373,36.0591,18
13984,城关区,103.8373,36.0591,20
13987,城关区,103.8439,36.0602,17
13988,城关区,103.84,36.0352,19
14145,城关区,103.8401,36.0369,21
14146,城关区,103.8422,36.0393,16
14148,城关区,103.8641,36.0523,20
14149,城关区,103.8667,36.04,19
14151,城关区,103.8571,36.039,20
14152,城关区,103.8412,36.0397,22
14157,城关区,103.9069,36.0465,16
14158,城关区,103.8651,36.0365,32
14159,城关区,103.9323,36.0392,22
14161,城关区,103.9323,36.0392,18
14162,城关区,103.9157,36.047,18
14164,城关区,103.9323,36.0392,23
14165,城关区,103.9196,36.0447,13
14166,城关区,103.8489,36.0135,15
14169,城关区,103.8489,36.0135,20
14171,城关区,103.8619,35.9887,15
14172,城关区,103.8379,36.017,17
14177,城关区,103.8783,36.0495,19
14179,城关区,103.8705,36.0526,15
14180,城关区,103.8949,36.0453,15
14181,城关区,103.9034,36.0401,14
14183,城关区,103.9291,36.0363,14
14187,城关区,103.9323,36.0392,16
14189,城关区,103.9425,36.0341,15
14190,城关区,103.8876,36.0258,13
14191,城关区,103.8489,36.0135,14
14192,城关区,103.8487,36.0065,39
14197,城关区,103.8738,35.9879,23
14198,城关区,103.8925,36.037,16
14199,城关区,103.8029,36.0962,12
14201,城关区,103.9035,36.0715,30
14202,城关区,103.923,36.0651,26
14203,城关区,103.9296,36.0626,14
14204,城关区,103.9694,36.0872,16
14233,城关区,103.9041,36.072,14
14235,城关区,103.8835,36.0841,16
14236,城关区,103.8114,36.0596,15
14238,城关区,103.8237,36.0601,20
14239,城关区,103.8237,36.0601,21
14240,城关区,103.8277,36.0586,19
14243,城关区,103.8237,36.0559,49
14580,城关区,103.8158,36.051,16
14581,城关区,103.8891,36.0538,20
14582,城关区,103.8842,36.0684,21
14583,城关区,103.8737,36.0546,17
14584,城关区,103.8842,36.0684,21
14585,城关区,103.8688,36.0573,16
14586,城关区,103.8346,36.0248,15
14590,城关区,91.137,29.6553,24
14591,城关区,103.8144,36.0685,2
14592,城关区,103.8481,36.0313,19
14594,城关区,103.867,36.0271,16
14595,城关区,103.8566,36.0307,25
14596,城关区,91.137,29.6553,20
14598,城关区,103.8422,36.0393,22
14599,城关区,103.8842,36.0684,19
14600,城关区,103.8204,36.0592,21
14601,城关区,103.8437,36.0551,18
14602,城关区,103.8273,36.0537,22
14604,城关区,103.868,36.0544,19
14605,城关区,103.8641,36.0523,17
14606,城关区,103.8641,36.0523,17
14607,城关区,103.8616,36.0488,20
14608,城关区,103.8346,36.0248,53
14610,城关区,113.4948,34.6661,24
14611,城关区,117.9294,36.8078,17
14617,城关区,103.8514,36.0752,19
14618,城关区,103.8601,36.0121,19
14620,城关区,103.8189,36.051,20
14621,城关区,103.8362,36.0367,17
14625,城关区,103.8436,36.0558,19
14626,城关区,103.869,36.0449,19
14627,城关区,103.8114,36.0596,19
14628,城关区,103.8201,36.0573,21
14629,城关区,103.8578,36.0408,14
14630,城关区,103.8114,36.0596,17
14631,城关区,103.8602,36.0392,19
14632,城关区,103.8285,36.0501,21
14636,城关区,103.8842,36.0684,24
14637,城关区,103.896,36.0618,45
14638,城关区,103.8842,36.0684,14
14640,城关区,103.861,36.0586,16
14852,城关区,103.8584,36.0628,18
14853,城关区,103.875,36.0606,18
14855,城关区,103.8666,36.0582,19
14857,城关区,103.8364,36.0419,10
14858,城关区,103.8797,36.0576,17
14859,城关区,103.8688,36.0573,18
14861,城关区,103.8385,36.0676,24
14863,七里河区,103.7416,36.0812,23
14864,七里河区,103.7126,36.0816,28
14865,七里河区,103.7126,36.0816,23
14866,七里河区,103.7126,36.0816,24
14867,七里河区,103.7255,36.0816,15
14868,七里河区,103.7126,36.0816,26
14869,七里河区,103.7126,36.0816,19
14873,七里河区,103.7287,36.0773,22
14875,七里河区,103.7392,36.0831,27
14876,七里河区,103.7668,36.0493,20
14880,七里河区,103.7287,36.0773,19
14881,七里河区,103.7607,36.0519,14
14882,七里河区,103.7607,36.0519,19
15407,七里河区,103.711,36.0747,16
15408,七里河区,103.7607,36.0519,34
15409,七里河区,103.7426,36.0532,14
15414,七里河区,103.7266,36.0491,25
15415,七里河区,103.745,36.0519,18
15416,七里河区,103.745,36.0519,13
15417,七里河区,103.7496,36.0523,22
15418,七里河区,103.6933,36.0017,19
15419,七里河区,103.713,36.0157,23
15420,七里河区,103.749,36.077,17
15422,七里河区,103.776,36.0751,26
15432,七里河区,103.7604,36.0743,20
15433,七里河区,103.7696,36.0685,16
15435,七里河区,103.745,36.0519,26
15439,七里河区,103.7442,36.0535,20
15440,七里河区,103.7449,36.0511,21
15458,七里河区,103.7855,36.0556,13
15461,七里河区,103.7959,36.0597,21
15462,七里河区,103.796,36.0631,11
15465,七里河区,103.7962,36.0579,11
15466,七里河区,103.7644,36.0697,24
15468,七里河区,103.7723,36.0617,19
15469,七里河区,103.7608,36.058,19
15470,七里河区,103.7715,36.0646,21
15471,七里河区,103.7569,36.0689,17
15472,七里河区,103.7573,36.0666,20
15476,七里河区,103.8254,36.0036,16
15478,七里河区,103.8661,35.9393,12
15481,七里河区,103.8113,36.0218,20
15483,七里河区,103.8025,36.047,15
15484,七里河区,103.8643,35.9501,18
15485,七里河区,103.8618,35.9566,19
15486,七里河区,103.8034,36.0475,18
15487,七里河区,103.8565,35.9663,12
15489,七里河区,103.8496,35.9765,16
15490,七里河区,103.8347,35.9922,12
15491,七里河区,103.8658,35.938,15
15492,七里河区,103.8056,36.0348,8
15493,七里河区,103.8543,35.9231,16
15494,七里河区,103.8045,35.8712,13
15495,七里河区,103.8415,35.9021,16
15496,七里河区,103.8462,35.9053,15
15497,七里河区,103.821,35.8786,14
15502,七里河区,103.8452,35.908,10
15503,七里河区,103.7835,36.0661,13
15504,七里河区,103.8452,35.908,12
15505,七里河区,103.8415,35.9021,13
15509,七里河区,103.8471,35.8889,12
15510,七里河区,103.8851,35.9208,8
15511,七里河区,103.8767,35.8923,23
15512,七里河区,103.6772,35.9942,22
15548,七里河区,103.706,35.9488,11
15549,七里河区,103.7122,36.0147,10
15553,七里河区,103.7122,36.0147,5
15554,七里河区,103.6531,35.9505,21
15555,七里河区,103.7092,35.9868,14
15556,七里河区,103.7237,35.9774,20
15558,七里河区,103.7501,35.9696,17
15560,七里河区,103.7627,35.9494,16
15562,七里河区,103.7501,35.9696,23
15565,七里河区,103.7651,35.9256,13
15584,七里河区,103.7796,35.9471,17
15585,七里河区,103.7168,35.9359,16
15586,七里河区,103.7389,35.9535,17
15587,七里河区,103.7682,35.9799,18
15588,七里河区,103.7624,35.9675,10
15589,七里河区,103.7865,35.996,14
15590,七里河区,103.7992,35.9393,24
15592,七里河区,103.79,35.915,21
15593,七里河区,103.8118,35.9245,27
15594,七里河区,103.8388,35.956,10
15633,七里河区,103.8382,35.9304,17
15634,七里河区,103.766,36.0534,18
15635,七里河区,103.8802,35.8758,24
15637,七里河区,103.747,36.02,20
15638,七里河区,103.7538,36.0174,16
15639,七里河区,103.7731,36.0114,32
15640,七里河区,103.7755,35.9901,15
15641,七里河区,103.7131,35.982,15
15649,七里河区,103.725,35.9657,25
15650,七里河区,103.8346,36.0248,9
15651,七里河区,103.8906,35.8096,37
15653,七里河区,103.749,36.077,24
15654,七里河区,103.749,36.077,21
15655,七里河区,103.7573,36.0666,22
15663,七里河区,103.7715,36.0646,21
