station,id,x,y,PM25_V
12395,城关区,103.8381,36.0487,29
12397,城关区,103.8348,36.0482,31
12398,城关区,103.8435,36.0491,32
12402,城关区,103.8326,36.0391,32
12404,城关区,103.8515,36.0532,31
12405,城关区,103.8381,36.0487,27
12406,城关区,103.8614,36.0451,29
12408,城关区,103.849,36.0528,29
12416,城关区,103.8326,36.0391,30
12417,城关区,103.8362,36.0367,32
12430,城关区,103.8285,36.0501,28
12431,城关区,103.8671,36.0399,22
12432,城关区,103.8812,36.0365,20
12437,城关区,103.8925,36.037,23
12438,城关区,103.8318,36.0461,22
12439,城关区,103.8332,36.0533,23
12440,城关区,103.849,36.0528,27
12441,城关区,103.8378,36.0477,26
12459,城关区,103.8168,36.0615,25
12460,城关区,103.8188,36.053,21
12461,城关区,103.8191,36.0507,19
12466,城关区,103.8114,36.0596,20
12475,城关区,103.8189,36.051,19
12476,城关区,103.8114,36.0596,18
12480,城关区,103.8362,36.0367,20
12484,城关区,103.8278,36.0853,22
12490,城关区,103.8286,36.0786,25
12491,城关区,103.8242,36.0838,25
12492,城关区,103.875,36.0606,26
12493,城关区,103.8278,36.0853,25
12494,城关区,103.8718,36.0652,29
12496,城关区,103.8311,36.0708,26
12497,城关区,103.8842,36.0684,24
12498,城关区,103.8684,36.0674,31
12499,城关区,103.89,36.0677,36
12503,城关区,103.896,36.0618,40
12504,城关区,103.8168,36.0564,37
12505,城关区,103.8554,36.0629,30
12506,城关区,103.8381,36.0487,26
13920,城关区,103.8443,36.0717,24
13923,城关区,103.8506,36.075,20
13936,城关区,103.8169,36.1108,21
13937,城关区,103.8239,36.0756,14
13942,城关区,103.8304,36.0778,15
13948,城关区,103.8094,36.0769,17
13949,城关区,103.8094,36.0769,14
13950,城关区,103.8223,36.0743,14
13951,城关区,103.7939,36.1113,15
13952,城关区,103.8571,36.039,14
13953,城关区,103.8794,36.0373,15
13954,城关区,103.8659,36.0364,17
13956,城关区,103.8806,36.0403,16
13957,城关区,103.8578,36.0408,15
13959,城关区,103.8605,36.0341,15
13960,城关区,103.8236,36.0422,15
13961,城关区,103.8225,36.0427,19
13962,城关区,103.8236,36.0422,23
13963,城关区,103.8221,36.0421,31
13964,城关区,103.8246,36.0387,36
13965,城关区,103.8814,36.0468,29
13970,城关区,103.8891,36.0421,18
13971,城关区,103.8789,36.0485,15
13973,城关区,103.89,36.0403,14
13974,城关区,103.8735,36.0447,14
13975,城关区,103.8481,36.0313,46
13979,城关区,103.8556,36.0316,42
13980,城关区,103.8365,36.0557,41
13981,城关区,103.8373,36.0591,43
13982,城关区,103.8489,36.0135,41
13983,城关区,103.8373,36.0591,35
13984,城关区,103.8373,36.0591,38
13987,城关区,103.8439,36.0602,39
13988,城关区,103.84,36.0352,53
14145,城关区,103.8401,36.0369,56
14146,城关区,103.8422,36.0393,70
14148,城关区,103.8641,36.0523,63
14149,城关区,103.8667,36.04,56
14151,城关区,103.8571,36.039,52
14152,城关区,103.8412,36.0397,55
14157,城关区,103.9069,36.0465,56
14158,城关区,103.8651,36.0365,57
14159,城关区,103.9323,36.0392,52
14161,城关区,103.9323,36.0392,49
14162,城关区,103.9157,36.047,49
14164,城关区,103.9323,36.0392,44
